Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"23.55.125.176","1,018","708 kB","595","509 kB","423","199 kB","","","","","",""
"23.96.180.189","28","9 kB","13","6 kB","15","3 kB","","","","","",""
"23.199.168.146","42","14 kB","22","7 kB","20","7 kB","","","","","",""
"23.205.110.12","41","15 kB","23","11 kB","18","4 kB","","","","","",""
"23.205.110.59","45","12 kB","24","8 kB","21","4 kB","","","","","",""
"23.205.110.133","138","98 kB","86","88 kB","52","10 kB","","","","","",""
"23.205.110.134","172","116 kB","103","108 kB","69","8 kB","","","","","",""
"23.205.110.136","171","73 kB","91","62 kB","80","11 kB","","","","","",""
"23.205.110.137","97","36 kB","44","23 kB","53","13 kB","","","","","",""
"23.205.110.142","3","192 bytes","1","66 bytes","2","126 bytes","","","","","",""
"23.205.110.143","552","349 kB","291","212 kB","261","137 kB","","","","","",""
"23.205.110.145","167","129 kB","104","120 kB","63","10 kB","","","","","",""
"23.205.110.146","3","192 bytes","1","66 bytes","2","126 bytes","","","","","",""
"23.205.110.148","3","192 bytes","1","66 bytes","2","126 bytes","","","","","",""
"23.205.110.151","32","6 kB","17","2 kB","15","4 kB","","","","","",""
"23.205.110.155","3","192 bytes","1","66 bytes","2","126 bytes","","","","","",""
"23.205.249.136","53","16 kB","28","14 kB","25","3 kB","","","","","",""
"23.207.164.186","36","9 kB","20","6 kB","16","4 kB","","","","","",""
"23.207.166.9","550","231 kB","275","194 kB","275","37 kB","","","","","",""
"23.212.64.35","4","265 bytes","2","145 bytes","2","120 bytes","","","","","",""
"23.212.64.79","44","18 kB","22","15 kB","22","3 kB","","","","","",""
"23.212.66.174","22","9 kB","11","7 kB","11","1 kB","","","","","",""
"23.212.73.35","143","112 kB","86","107 kB","57","5 kB","","","","","",""
"23.219.160.172","84","48 kB","52","41 kB","32","6 kB","","","","","",""
"23.220.102.9","10","898 bytes","5","487 bytes","5","411 bytes","","","","","",""
"23.220.103.8","105","71 kB","59","66 kB","46","4 kB","","","","","",""
"23.220.103.11","88","49 kB","53","42 kB","35","7 kB","","","","","",""
"23.221.220.40","255","179 kB","154","168 kB","101","11 kB","","","","","",""
"34.120.154.120","96","24 kB","47","16 kB","49","8 kB","","","","","",""
"35.71.139.29","34","11 kB","17","8 kB","17","3 kB","","","","","",""
"35.84.233.181","54","18 kB","28","12 kB","26","6 kB","","","","","",""
"40.119.6.228","2","180 bytes","1","90 bytes","1","90 bytes","","","","","",""
"40.126.28.11","24","8 kB","9","6 kB","15","2 kB","","","","","",""
"40.126.28.12","34","24 kB","17","17 kB","17","7 kB","","","","","",""
"40.126.28.18","52","16 kB","22","12 kB","30","4 kB","","","","","",""
"40.126.29.9","69","23 kB","27","17 kB","42","6 kB","","","","","",""
"40.126.29.10","47","15 kB","18","11 kB","29","4 kB","","","","","",""
"44.237.90.153","34","11 kB","18","7 kB","16","4 kB","","","","","",""
"45.125.66.32","10,940","10 MB","7,203","10 MB","3,737","587 kB","","","","","",""
"45.125.66.252","1,369","107 kB","903","68 kB","466","39 kB","","","","","",""
"51.104.15.252","163","90 kB","73","27 kB","90","63 kB","","","","","",""
"52.32.135.66","43","16 kB","23","11 kB","20","4 kB","","","","","",""
"52.109.0.91","65","17 kB","30","13 kB","35","4 kB","","","","","",""
"52.109.0.142","60","22 kB","27","17 kB","33","5 kB","","","","","",""
"52.109.20.38","40","10 kB","19","8 kB","21","2 kB","","","","","",""
"52.109.20.47","63","22 kB","28","17 kB","35","5 kB","","","","","",""
"52.113.194.132","71","32 kB","40","26 kB","31","6 kB","","","","","",""
"52.137.125.63","24","6 kB","11","4 kB","13","2 kB","","","","","",""
"52.143.124.236","48","12 kB","20","7 kB","28","4 kB","","","","","",""
"52.152.180.158","163","125 kB","81","71 kB","82","54 kB","","","","","",""
"52.156.123.84","23","5 kB","10","4 kB","13","1 kB","","","","","",""
"52.158.246.138","47","11 kB","20","7 kB","27","4 kB","","","","","",""
"52.167.164.84","23","5 kB","10","4 kB","13","1 kB","","","","","",""
"52.175.242.182","115","29 kB","51","18 kB","64","10 kB","","","","","",""
"52.178.17.235","64","23 kB","28","11 kB","36","12 kB","","","","","",""
"52.191.219.104","25","8 kB","12","5 kB","13","2 kB","","","","","",""
"52.229.52.30","23","6 kB","10","4 kB","13","2 kB","","","","","",""
"62.149.0.30","2","180 bytes","1","90 bytes","1","90 bytes","","","","","",""
"69.147.65.251","40","12 kB","21","8 kB","19","4 kB","","","","","",""
"82.221.136.26","2,470","2 MB","1,636","2 MB","834","53 kB","","","","","",""
"94.198.159.14","4","360 bytes","2","180 bytes","2","180 bytes","","","","","",""
"104.18.8.76","41","9 kB","21","6 kB","20","4 kB","","","","","",""
"104.21.64.1","42","10 kB","22","6 kB","20","4 kB","","","","","",""
"129.6.15.28","4","360 bytes","2","180 bytes","2","180 bytes","","","","","",""
"129.250.35.250","4","360 bytes","2","180 bytes","2","180 bytes","","","","","",""
"133.243.238.243","6","540 bytes","3","270 bytes","3","270 bytes","","","","","",""
"135.148.100.14","2","180 bytes","1","90 bytes","1","90 bytes","","","","","",""
"142.202.190.19","2","180 bytes","1","90 bytes","1","90 bytes","","","","","",""
"142.250.113.100","33","14 kB","18","11 kB","15","3 kB","","","","","",""
"142.250.113.113","33","14 kB","16","11 kB","17","4 kB","","","","","",""
"142.250.114.100","35","15 kB","18","11 kB","17","4 kB","","","","","",""
"142.250.114.102","31","14 kB","16","11 kB","15","3 kB","","","","","",""
"142.250.115.101","33","15 kB","18","11 kB","15","3 kB","","","","","",""
"142.250.115.132","47","29 kB","24","23 kB","23","6 kB","","","","","",""
"142.250.115.139","32","14 kB","16","11 kB","16","3 kB","","","","","",""
"142.251.116.155","44","12 kB","24","9 kB","20","4 kB","","","","","",""
"142.251.186.106","45","12 kB","24","8 kB","21","4 kB","","","","","",""
"142.251.186.132","26","14 kB","12","11 kB","14","3 kB","","","","","",""
"150.171.27.10","68","21 kB","38","13 kB","30","8 kB","","","","","",""
"151.101.1.181","78","36 kB","45","32 kB","33","4 kB","","","","","",""
"157.240.24.35","29","8 kB","15","4 kB","14","3 kB","","","","","",""
"162.159.200.1","2","180 bytes","1","90 bytes","1","90 bytes","","","","","",""
"169.229.128.134","2","180 bytes","1","90 bytes","1","90 bytes","","","","","",""
"169.254.168.209","38","6 kB","38","6 kB","0","0 bytes","","","","","",""
"169.254.255.255","36","5 kB","0","0 bytes","36","5 kB","","","","","",""
"173.71.68.71","2","180 bytes","1","90 bytes","1","90 bytes","","","","","",""
"185.188.32.26","122","16 kB","50","6 kB","72","10 kB","","","","","",""
"192.132.33.69","37","13 kB","20","10 kB","17","3 kB","","","","","",""
"193.171.23.163","2","180 bytes","1","90 bytes","1","90 bytes","","","","","",""
"194.58.203.20","6","540 bytes","3","270 bytes","3","270 bytes","","","","","",""
"199.232.214.172","556","514 kB","368","499 kB","188","14 kB","","","","","",""
"204.79.197.203","594","261 kB","339","208 kB","255","53 kB","","","","","",""
"204.79.197.237","39","15 kB","21","10 kB","18","5 kB","","","","","",""
"204.79.197.239","143","50 kB","75","34 kB","68","16 kB","","","","","",""
"208.89.12.87","45","16 kB","23","11 kB","22","5 kB","","","","","",""
"208.89.12.91","57","24 kB","29","19 kB","28","5 kB","","","","","",""
"208.89.12.153","240","195 kB","143","186 kB","97","9 kB","","","","","",""
"213.239.239.164","6","540 bytes","3","270 bytes","3","270 bytes","","","","","",""
"217.20.51.20","14","2 kB","7","1 kB","7","983 bytes","","","","","",""
"217.70.186.109","26","9 kB","13","6 kB","13","3 kB","","","","","",""
"224.0.0.251","25","2 kB","0","0 bytes","25","2 kB","","","","","",""
"224.0.0.252","6","450 bytes","0","0 bytes","6","450 bytes","","","","","",""
"239.255.255.250","28","5 kB","0","0 bytes","28","5 kB","","","","","",""
"255.255.255.255","4","1 kB","0","0 bytes","4","1 kB","","","","","",""
